 Length , Weight (g) 
 9.30 , 56.00 
 9.30 , 59.00 
 9.30 , 72.00 
 9.30 , 60.00 
 9.30 , 68.00 
 9.30 , 65.00 
 9.30 , 46.00 
 9.30 , 43.00 
 9.30 , 50.00 
 9.30 , 51.00 
 9.30 , 52.00 
 9.30 , 40.00 
 9.30 , 49.00 
 9.30 , 43.00 
 9.30 , 37.00 
 9.30 , 50.00 
 9.30 , 50.00 
 9.30 , 56.00 
 9.30 , 60.00 
 9.30 , 49.00 
 9.30 , 43.00 
 9.30 , 46.00 
 9.30 , 60.00 
 9.30 , 60.00 
 9.30 , 90.00 
 9.30 , 49.00 
 9.30 , 70.00 
 9.30 , 47.00 
 9.30 , 63.00 
 9.30 , 56.00 
 9.30 , 37.00 
 9.30 , 40.00 
 9.30 , 53.00 
 9.30 , 67.00 
 9.30 , 60.00 
 9.30 , 50.00 
 9.30 , 55.00 
 9.30 , 79.00 
 9.30 , 80.00 
 9.30 , 89.00 
 9.30 , 67.00 
 9.30 , 87.00 
 9.30 , 49.00 
 9.30 , 67.00 
 9.30 , 71.00 
 9.30 , 67.00 
 9.30 , 72.00 
 9.30 , 67.00 
 9.30 , 65.00 
 9.30 , 62.00 
 9.30 , 50.00 
 9.30 , 50.00 
 9.30 , 50.00 
 9.30 , 40.00 
 9.30 , 50.00 
 9.30 , 50.00 
 9.30 , 50.00 
 9.30 , 42.00 
 9.30 , 52.00 
 9.30 , 56.00 
 9.30 , 46.00 
 9.30 , 60.00 
 9.30 , 50.00 
 9.30 , 40.00 
 9.30 , 40.00 
 9.30 , 50.00 
 9.30 , 50.00 
 9.30 , 45.00 
 9.30 , 45.00 
 9.30 , 45.00 
 9.30 , 35.00 
 9.30 , 40.00 
 9.30 , 45.00 
 9.30 , 35.00 
 9.30 , 30.00 
 9.30 , 45.00 
 9.30 , 50.00 
 9.30 , 70.00 
 9.30 , 81.00 
 9.30 , 73.00 
 9.30 , 85.00 
 9.30 , 72.00 
 9.30 , 85.00 
 9.30 , 77.00 
 9.30 , 85.00 
 9.30 , 52.00 
 9.30 , 91.00 
 9.30 , 93.00 
 9.30 , 71.00 
 9.30 , 53.00 
 9.30 , 50.00 
 9.30 , 49.00 
 9.30 , 48.00 
 9.30 , 37.00 
 9.30 , 40.00 
 9.30 , 50.00 
 9.30 , 50.00 
 9.30 , 45.00 
 9.30 , 45.00 
 9.40 , 47.00 
 9.40 , 50.00 
 9.40 , 56.00 
 9.40 , 78.00 
 9.40 , 50.00 
 9.40 , 41.00 
 9.40 , 46.00 
 9.40 , 43.00 
 9.40 , 45.00 
 9.40 , 51.00 
 9.40 , 56.00 
 9.40 , 48.00 
 9.40 , 66.00 
 9.40 , 46.00 
 9.40 , 20.00 
 9.40 , 50.00 
 9.40 , 50.00 
 9.40 , 50.00 
